Party,Product,Qty,Top_Sell_Rank,No_of_Orders,Popularity_Rank
A.BHASKER-VGIRI,14 GREEN,40,19717,1,19715
A.SRINIVASULU-SPT,14 GREEN,3000,19673,2,19664
A.VENKATESWARLU-VB ,14 GREEN,600,19546,1,19551
A1 PLASTICS-SPT,14 GREEN,11000,19530,11,19512
ABC,14 GREEN,11760,19469,23,19447
ACK,14 GREEN,80,19395,2,19400
AKBAR COOLDRINKS,14 GREEN,600,19293,1,19296
ANILFANCY,14 GREEN,94520,19207,15,19236
APM-VGIRI,14 GREEN,600,19127,1,19133
ATS,14 GREEN,112000,19022,23,18980
AVR-VBPALLI,14 GREEN,400,18906,9,18900
AVS-ADURUPALLY,14 GREEN,19120,18886,15,18886
AVS-NPT,14 GREEN,36880,18806,31,18800
B.V.SUBRHAMANHYAM-A,14 GREEN,6040,18694,7,18693
BABU-ANATHASAGARAM,14 GREEN,1160,18638,4,18615
BABU-BUCHI,14 GREEN,10400,18604,2,18596
BABU.N-ANATHASAGARA,14 GREEN,120,18593,2,18586
BASHA-PDKR,14 GREEN,656,18458,2,18463
BCM,14 GREEN,38360,18387,50,18358
BMK-KOTA,14 GREEN,3000,18268,2,18265
BRHAMADEVI SUDHEER,14 GREEN,20040,18163,36,18106
BRHAMEESWARA VASUDE,14 GREEN,16,18063,1,18057
BRHAMIAH MOPUR,14 GREEN,3168,18026,12,18036
BSCPL INFRASTRUCTUR,14 GREEN,28,17999,1,18003
BSM-MTKR,14 GREEN,2600,17953,15,17947
BSM-VGIRI,14 GREEN,7520,17846,18,17874
BSR,14 GREEN,121000,17812,72,17662
BTR,14 GREEN,79064,17559,50,17558
C.EKAMBARAM,14 GREEN,2000,17530,2,17519
CBR,14 GREEN,6960,17405,27,17426
CH.ANKAYYA-SYDAPURA,14 GREEN,2280,17361,6,17334
CH.RANGAYYA-UGIRI,14 GREEN,80,17256,1,17257
CHAITANYA PROVISION,14 GREEN,24000,17225,3,17216
CHAKKA RANGAYYA,14 GREEN,22650,17156,55,17108
CHANDRAMOULI-VGIRI,14 GREEN,40,17079,1,17086
CHANDRASEKHAR-SKHT,14 GREEN,40,17061,1,17055
CHARAN TRADERS-HAST,14 GREEN,42840,17011,13,17015
CHATLA NARAYANA-PDK,14 GREEN,1360,16972,10,16964
CHEKKA SUDHAKAR,14 GREEN,11400,16898,54,16821
CHENCHULAKSHMIPROVI,14 GREEN,40,16729,1,16730
CHENCHUMAHALAKSHMI ,14 GREEN,600,16694,1,16708
CHENGAREDDY-MTKR,14 GREEN,4912,16637,25,16634
CNR,14 GREEN,23120,16446,10,16442
CNR-BUCHI,14 GREEN,40,16512,1,16512
CUSTOMER,14 GREEN,3207,16131,29,16118
CUSTOMER SESHIAH AY,14 GREEN,1000,16340,1,16330
DARSHAN GEN STORES-,14 GREEN,4000,15995,1,15991
DHANALAKSHMI PROVIS,14 GREEN,208,15946,6,15919
DPK-SPT,14 GREEN,16,15895,1,15889
DURGA PLASTICS-NPT,14 GREEN,40,15688,1,15684
G.RAMANIAH,14 GREEN,9280,15564,16,15589
G.RATNAM-VGIRI,14 GREEN,40,15556,1,15555
G.VENKAIAH-ATMAKUR,14 GREEN,29000,15547,4,15533
GADAMSETTY SRINIVAS,14 GREEN,40,15522,1,15521
GANESHMESS,14 GREEN,8,15427,1,15483
GANGAMMA-GDR,14 GREEN,992,15386,5,15386
GOLAGAMUDI,14 GREEN,8,15309,1,15335
GOVINDAYA,14 GREEN,2000,15232,2,15230
GRL-VGIRI,14 GREEN,1000,15227,1,15227
GST,14 GREEN,200,15219,5,15209
GURUNATHAM GENERAL ,14 GREEN,1000,15177,1,15170
GVS,14 GREEN,4000,15019,3,15015
HAMPI FOODS,14 GREEN,17,14963,2,14911
HKP-BUCHHI,14 GREEN,1000,14805,1,14804
HOTEL NTC-NELLORE,14 GREEN,2,14742,1,14740
INAMADUGU-VENKAYYA,14 GREEN,3200,14647,6,14630
INDRA TRADERS-VGIRI,14 GREEN,5040,14590,6,14582
J.RATHAYYA-DAKKILI,14 GREEN,3036,14511,11,14515
JAGADEESH-SPT,14 GREEN,80,14335,2,14341
JANANI PLASTICS-VGI,14 GREEN,67360,14140,22,14196
JAYAMPU SUDHAKAR,14 GREEN,80,14020,1,14046
JAYLAKSHMIFANCY,14 GREEN,7160,13927,11,13977
JONNAWADA,14 GREEN,31,13854,2,13853
K.ARMUGAM-VGIRI,14 GREEN,1040,13822,2,13809
K.NAGIREDDY-KALIGIR,14 GREEN,80,13781,1,13790
K.RAVIKUMAR-VGIRI,14 GREEN,1928,13739,16,13735
K.SRIHARI,14 GREEN,334320,13586,51,13518
K.VENUGOPAL-RAPUR,14 GREEN,9840,13373,27,13404
KALIYAPPAN-VGIRI,14 GREEN,1000,13368,1,13360
KALLASUDHAKAR,14 GREEN,2880,13318,10,13323
KANTHARAO-NPT,14 GREEN,26,13268,2,13263
KARIMULLA-BTTR,14 GREEN,2200,13220,7,13202
KARIMULLA-VGIRI,14 GREEN,4040,13166,28,13162
KARTHIK DEPARTMENTS,14 GREEN,483,13102,7,13091
KATTELA DHODDI RAMA,14 GREEN,3360,13071,11,13076
KESAVA PROVISIONS,14 GREEN,6360,12954,25,12977
KISHORE-NAVABPET,14 GREEN,24,12770,2,12769
KNC,14 GREEN,1200,12650,3,12594
KODUR CHURCH,14 GREEN,20,12572,1,12571
KPR,14 GREEN,35000,12439,6,12391
KURAPATI SUDHAKAR-S,14 GREEN,16,12238,1,12235
KVK,14 GREEN,13000,12133,3,12043
KVKC,14 GREEN,200,11901,3,11822
KVS,14 GREEN,4640,11689,20,11676
KVS-NPT,14 GREEN,7440,11740,11,11752
KVS-RAJUPALEM,14 GREEN,80,11721,2,11721
LAKSHMINARASIMHA PR,14 GREEN,1000,11553,1,11544
LAKSHMIPADMAVATHI-N,14 GREEN,200,11457,3,11451
LAKSHMISAI FANCY-KO,14 GREEN,9544,11316,9,11316
LAVANYA FANCY,14 GREEN,19360,11263,75,11170
LKR-DAKKILI,14 GREEN,1440,11156,3,11146
LNGS,14 GREEN,14000,11122,8,11066
LOCK,14 GREEN,4568,10971,23,10971
M.BHASKER,14 GREEN,6912,10798,25,10817
M.PRASAD-SANGAM,14 GREEN,4200,10769,9,10766
MADHU CHEJARLA,14 GREEN,4760,10671,17,10685
MADHU MANUBOLU,14 GREEN,224,10645,3,10642
MADHU PROVISIONS.K-,14 GREEN,1000,10618,1,10608
MADHUFANCY,14 GREEN,56,10524,5,10509
MAHESWARI PROVISION,14 GREEN,18040,10481,9,10432
MALLI-NAVABPET,14 GREEN,28,10402,4,10392
MALLIKARJUNA GENERA,14 GREEN,1000,10375,1,10369
MANCHIKANTI HARI,14 GREEN,50,10340,2,10342
MASTAN SK-PALLAM PE,14 GREEN,40,10258,1,10255
MASTAN-SKHT,14 GREEN,160,10253,2,10253
MASTHAN.P-SKHT,14 GREEN,16000,10248,8,10243
MGS,14 GREEN,2480,10043,7,10038
MKR-RAPUR,14 GREEN,80,10030,2,10030
MOHAN CHOUDARY-INAM,14 GREEN,160,10014,7,9990
MRG,14 GREEN,10040,9955,11,9941
MS.RAMU-VGIRI,14 GREEN,3000,9871,3,9866
MSR,14 GREEN,19488,9682,51,9617
MSR-MTKR,14 GREEN,1040,9737,2,9725
MVR,14 GREEN,1040,9440,2,9414
N.V.MEDICALS-VGIRI,14 GREEN,7000,9326,3,9326
NAGARAJA.P-NPT,14 GREEN,80,9297,1,9297
NAGASURI SRINIVASUL,14 GREEN,1080,9271,4,9248
NAGESWARAO,14 GREEN,312,9208,5,9191
NARAYANA ENGINEERIN,14 GREEN,16,9150,1,9149
NAVEEN-KOTA,14 GREEN,80,9047,2,9047
NELLORE SHOP,14 GREEN,104,9041,1,9041
NMK,14 GREEN,15120,9012,10,8999
NR-PDKR,14 GREEN,3424,8907,3,8905
NSR,14 GREEN,8120,8872,8,8872
P.KESAVULU-GDR,14 GREEN,80,8849,1,8851
P.V.RAJA-VGIRI,14 GREEN,3320,8787,11,8791
PABBISETTY-ALR,14 GREEN,3000,8766,3,8766
PADMAVATHI FANCY-GD,14 GREEN,180,8752,2,8744
PAPARAO,14 GREEN,5120,8595,38,8618
PARITALA RAMAKRISHN,14 GREEN,1000,8571,1,8571
PENCHALAYYA-BRHMADE,14 GREEN,324,8495,3,8493
PENCHALAYYA-K,14 GREEN,3440,8465,6,8460
PENCHALAYYA.M-RAPUR,14 GREEN,80,8452,1,8452
PGS,14 GREEN,21080,8411,49,8382
PRAKASH KOTA,14 GREEN,40,8220,1,8229
PRR-NPT,14 GREEN,600,7991,1,7991
PSM-ALR,14 GREEN,64,7967,2,7970
PVNR-SPT,14 GREEN,1000,7952,1,7952
R AND R -VGIRI,14 GREEN,1040,7903,2,7891
RADHA-ALR,14 GREEN,40,7812,1,7816
RAGHU-PDKR,14 GREEN,2344,7745,9,7723
RAJASURESH,14 GREEN,58120,7629,31,7634
RAM MOHAN P-MARLAPU,14 GREEN,72,7562,2,7562
RAMAKRISHNA GENERAL,14 GREEN,3000,7537,1,7531
RAMANIAH-SUNIL,14 GREEN,24,7424,1,7419
RAMARAO,14 GREEN,5760,7343,18,7370
